,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Country
873,Kyya,Hispaniola,1359,2014,0.725,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
874,Kyya,Ecuador,1363,2014,0.725,U.S.A.,2.5,Ecuador,738,most common,Average Amount,United States of America
875,Kyya,Madagascar,1363,2014,0.725,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
876,L.A. Burdick (Felchlin),Peru,891,2012,0.74,U.S.A.,3.25,Peru,738,most common,Average Amount,United States of America
877,L.A. Burdick (Felchlin),Brazil,891,2012,0.7,U.S.A.,4.0,Brazil,738,most common,Average Amount,United States of America
878,L.A. Burdick (Felchlin),Chuao,927,2012,0.68,U.S.A.,3.75,Venezuela,738,most common,Average Amount,United States of America
879,L.A. Burdick (Felchlin),Quito,682,2011,0.74,U.S.A.,3.75,Ecuador,738,most common,Average Amount,United States of America
880,L.A. Burdick (Felchlin),Grenada,576,2010,0.75,U.S.A.,3.25,Grenada,738,most common,Average Amount,United States of America
881,L.A. Burdick (Felchlin),Dominican Republic,576,2010,0.74,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
882,L.A. Burdick (Felchlin),Venzuela,597,2010,0.71,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
883,L.A. Burdick (Felchlin),Madagascar,431,2009,0.64,U.S.A.,3.5,Madagascar,738,most common,Light Amount,United States of America
884,L.A. Burdick (Felchlin),Bolivian,451,2009,0.68,U.S.A.,3.0,Bolivia,738,most common,Average Amount,United States of America
885,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,0.7,Japan,2.25,Peru,17,extra rare,Average Amount,Japan
886,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,0.7,Japan,2.5,Peru,17,extra rare,Average Amount,Japan
887,La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,0.7,Japan,3.0,Peru,17,extra rare,Average Amount,Japan
888,La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,0.7,Japan,3.0,Belize,17,extra rare,Average Amount,Japan
889,La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,0.74,France,2.75,"Africa, Carribean, C. Am.",144,somewhat common,Average Amount,France
890,La Maison du Chocolat (Valrhona),Tobago,1145,2013,0.6,France,3.25,Tobago,144,somewhat common,Light Amount,France
891,La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,0.56,France,3.25,Ecuador,144,somewhat common,Light Amount,France
892,La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,0.66,France,3.5,Dominican Republic,144,somewhat common,Average Amount,France
893,La Maison du Chocolat (Valrhona),Grenada,741,2011,0.68,France,3.5,Grenada,144,somewhat common,Average Amount,France
894,La Maison du Chocolat (Valrhona),Akosombo,346,2009,0.68,France,3.25,Ghana,144,somewhat common,Average Amount,France
895,La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,0.69,France,3.5,Venezuela,144,somewhat common,Average Amount,France
896,La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,0.74,France,3.5,"Ven., Indonesia, Ecuad.",144,somewhat common,Average Amount,France
897,La Oroquidea,Peruvian Amazon,721,2011,0.72,Peru,2.5,Peru,17,extra rare,Average Amount,Peru
898,La Pepa de Oro,Vinces,713,2011,0.6,Ecuador,3.25,Ecuador,54,rare,Light Amount,Ecuador
899,Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,0.75,France,2.75,Madagascar,144,somewhat common,Average Amount,France
900,Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,0.75,France,2.75,Vietnam,144,somewhat common,Average Amount,France
901,Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,0.75,France,3.0,Cuba,144,somewhat common,Average Amount,France
902,Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,0.75,France,3.25,Peru,144,somewhat common,Average Amount,France
903,Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,0.75,France,3.0,Ivory Coast,144,somewhat common,Average Amount,France
904,Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,0.75,France,3.5,Sao Tome,144,somewhat common,Average Amount,France
905,Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,0.75,France,3.25,Brazil,144,somewhat common,Average Amount,France
906,Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,0.75,France,3.75,Vietnam,144,somewhat common,Average Amount,France
907,Laia aka Chat-Noir,Cuba,1434,2014,0.7,France,2.75,Cuba,144,somewhat common,Average Amount,France
908,Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,0.68,France,2.75,Trinidad-Tobago,144,somewhat common,Average Amount,France
909,Lajedo do Ouro,Catongo,927,2012,0.7,Brazil,3.5,Brazil,17,extra rare,Average Amount,Brazil
910,Lake Champlain (Callebaut),Tanzania,327,2009,0.75,U.S.A.,2.5,Tanzania,738,most common,Average Amount,United States of America
911,L'Amourette,Rugoso,1784,2016,0.8,U.S.A.,3.5,Nicaragua,738,most common,High Amount,United States of America
912,L'Amourette,Carenero Superior,833,2012,0.75,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
913,L'Amourette,Rio Caribe,833,2012,0.75,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
914,L'Amourette,Blend,853,2012,0.72,U.S.A.,3.0,"Peru, Ecuador, Venezuela",738,most common,Average Amount,United States of America
915,Letterpress,"La Masica, Batch 7, FHIA",1952,2017,0.7,U.S.A.,3.5,Honduras,738,most common,Average Amount,United States of America
916,Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,0.7,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
917,Letterpress,Liberia,1728,2016,0.7,U.S.A.,3.25,Liberia,738,most common,Average Amount,United States of America
918,Letterpress,Beniamo,1562,2015,0.7,U.S.A.,3.25,Bolivia,738,most common,Average Amount,United States of America
919,Letterpress,"San Juan Estate, Gran Couva",1562,2015,0.7,U.S.A.,3.5,Trinidad,738,most common,Average Amount,United States of America
920,Letterpress,San Andres,1566,2015,0.7,U.S.A.,3.0,Costa Rica,738,most common,Average Amount,United States of America
921,Letterpress,"La Red, Guaconejo",1566,2015,0.7,U.S.A.,3.25,Domincan Republic,738,most common,Average Amount,United States of America
922,Letterpress,Kokoa Kamili,1566,2015,0.7,U.S.A.,3.5,Tanzania,738,most common,Average Amount,United States of America
923,Letterpress,Maranura,1371,2014,0.7,U.S.A.,3.5,Peru,738,most common,Average Amount,United States of America
924,Levy,Sambirano,1231,2014,0.71,Finland,3.5,Madagascar,2,extra rare,Average Amount,Finland
925,Lilla,Madagascar,1856,2016,0.7,Finland,3.0,Madagascar,2,extra rare,Average Amount,Finland
926,Lillie Belle,Perfect Illusion,855,2012,0.65,U.S.A.,3.5,Peru,738,most common,Average Amount,United States of America
927,Lillie Belle,"Bolivia, Wild Thing",903,2012,0.68,U.S.A.,3.5,Bolivia,738,most common,Average Amount,United States of America
928,Lillie Belle,La Selva,903,2012,0.68,U.S.A.,3.75,Peru,738,most common,Average Amount,United States of America
929,Lillie Belle,Purple Haze,947,2012,0.75,U.S.A.,2.75,"Venezuela, Dom. Rep.",738,most common,Average Amount,United States of America
930,Lillie Belle,"The Other One, Grand Cru",947,2012,0.74,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
931,Lillie Belle,Wild Thing,947,2012,0.68,U.S.A.,3.5,Bolivia,738,most common,Average Amount,United States of America
932,Loiza,Puerto Rico,1049,2013,0.65,Puerto Rico,2.5,Puerto Rico,4,extra rare,Average Amount,Puerto Rico
933,Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,0.7,U.S.A.,3.75,Hawaii,738,most common,Average Amount,United States of America
934,Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,0.65,U.S.A.,3.25,Hawaii,738,most common,Average Amount,United States of America
935,Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,0.75,U.S.A.,3.75,Hawaii,738,most common,Average Amount,United States of America
936,Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,0.71,U.S.A.,3.0,Hawaii,738,most common,Average Amount,United States of America
937,Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,0.72,U.S.A.,3.0,Hawaii,738,most common,Average Amount,United States of America
938,Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,0.7,U.S.A.,3.5,Hawaii,738,most common,Average Amount,United States of America
939,Love Bar,Nicaragua,1502,2015,0.75,U.S.A.,2.0,Nicaragua,738,most common,Average Amount,United States of America
940,Luker,Selva,552,2010,0.46,Colombia,2.75,"Colombia, Ecuador",23,extra rare,Light Amount,Colombia
941,Luker,Macondo,552,2010,0.6,Colombia,3.0,"Colombia, Ecuador",23,extra rare,Light Amount,Colombia
942,Luker,Misterio,552,2010,0.58,Colombia,3.0,"Colombia, Ecuador",23,extra rare,Light Amount,Colombia
943,Luker,Santander,552,2010,0.65,Colombia,3.5,Colombia,23,extra rare,Average Amount,Colombia
944,Machu Picchu Trading Co.,Peru,721,2011,0.7,Peru,1.5,Peru,17,extra rare,Average Amount,Peru
945,Machu Picchu Trading Co.,Peru,552,2010,0.55,Peru,2.25,Peru,17,extra rare,Light Amount,Peru
946,Madecasse (Cinagra),Madagascar,284,2008,0.67,Madagascar,3.5,Madagascar,17,extra rare,Average Amount,Madagascar
947,Madecasse (Cinagra),Madagascar,284,2008,0.7,Madagascar,3.75,Madagascar,17,extra rare,Average Amount,Madagascar
948,Madecasse (Cinagra),Madagascar,284,2008,0.63,Madagascar,4.0,Madagascar,17,extra rare,Light Amount,Madagascar
949,Madecasse (Cinagra),Madagascar,288,2008,0.75,Madagascar,3.5,Madagascar,17,extra rare,Average Amount,Madagascar
950,Madre,Guadalcanal,1940,2017,0.73,U.S.A.,3.5,Solomon Islands,738,most common,Average Amount,United States of America
951,Madre,Puerto Rico,1085,2013,0.7,U.S.A.,2.75,Puerto Rico,738,most common,Average Amount,United States of America
952,Madre,Brazil,1085,2013,0.7,U.S.A.,3.5,Brazil,738,most common,Average Amount,United States of America
953,Madre,"Choobua, Kona",1089,2013,0.7,U.S.A.,2.75,Hawaii,738,most common,Average Amount,United States of America
954,Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,0.7,U.S.A.,2.75,Mexico,738,most common,Average Amount,United States of America
955,Madre,"Hamakua Coast, Kokoleka",991,2012,0.7,U.S.A.,3.25,Hawaii,738,most common,Average Amount,United States of America
956,Madre,"Criollo, Hawaii",995,2012,0.7,U.S.A.,3.25,Hawaii,738,most common,Average Amount,United States of America
957,Madre,Kaua'i,995,2012,0.7,U.S.A.,3.5,Hawaii,738,most common,Average Amount,United States of America
958,Madre,Dominican,672,2011,0.7,U.S.A.,2.5,Dominican Republic,738,most common,Average Amount,United States of America
959,Madre,Upala,693,2011,0.7,U.S.A.,2.75,Costa Rica,738,most common,Average Amount,United States of America
960,Madre,"Chiapas, Triple Cacao",607,2010,0.72,U.S.A.,2.75,Mexico,738,most common,Average Amount,United States of America
961,Maglio,Africa,300,2008,0.75,Italy,2.0,Tanzania,54,rare,Average Amount,Italy
962,Maglio,Ecuador,308,2008,0.7,Italy,3.0,Ecuador,54,rare,Average Amount,Italy
963,Maglio,Cuba,308,2008,0.7,Italy,3.25,Cuba,54,rare,Average Amount,Italy
964,Maglio,Santo Domingo,308,2008,0.7,Italy,3.75,Dominican Republic,54,rare,Average Amount,Italy
965,Majani,Ecuador,531,2010,0.7,Italy,2.0,Ecuador,54,rare,Average Amount,Italy
966,Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,0.75,Madagascar,2.75,Madagascar,17,extra rare,Average Amount,Madagascar
967,Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,0.73,Madagascar,3.5,Madagascar,17,extra rare,Average Amount,Madagascar
968,Malagos,"Davao, Mt. Talamo foothills",1121,2013,0.65,Philippines,3.5,Philippines,1,extra rare,Average Amount,Philippines
969,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,0.55,U.S.A.,3.5,Hawaii,738,most common,Light Amount,United States of America
970,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.55,U.S.A.,2.75,Hawaii,738,most common,Light Amount,United States of America
971,Malmo,Chuao,1856,2016,0.7,Sweden,3.0,Venezuela,5,extra rare,Average Amount,Sweden
972,Mana,Ecuador,1446,2015,0.74,U.S.A.,2.5,Ecuador,738,most common,Average Amount,United States of America
973,Mana,Peru,1219,2014,0.74,U.S.A.,2.5,Peru,738,most common,Average Amount,United States of America
974,Mana,Venezuela,1219,2014,0.74,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
975,Mana,Conacado,821,2012,0.74,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
976,Manifesto Cacao,Colombia,1331,2014,0.7,Colombia,2.75,Colombia,23,extra rare,Average Amount,Colombia
977,Manoa,Markham Valley,1522,2015,0.72,U.S.A.,3.5,Papua New Guinea,738,most common,Average Amount,United States of America
978,Manoa,Coto Brus,1522,2015,0.72,U.S.A.,3.75,Costa Rica,738,most common,Average Amount,United States of America
979,Manoa,"Waiahole, O'ahu",1089,2013,0.72,U.S.A.,3.75,Hawaii,738,most common,Average Amount,United States of America
980,Manoa,"Liberia, #174",1003,2012,0.72,U.S.A.,3.25,Liberia,738,most common,Average Amount,United States of America
981,Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,0.72,U.S.A.,2.75,Hawaii,738,most common,Average Amount,United States of America
982,Manoa,Piura,1007,2012,0.72,U.S.A.,3.0,Peru,738,most common,Average Amount,United States of America
983,Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,0.72,U.S.A.,3.25,Hawaii,738,most common,Average Amount,United States of America
984,Manufaktura Czekolady,Johe,1844,2016,0.7,Poland,3.75,Nicaragua,7,extra rare,Average Amount,Poland
985,Manufaktura Czekolady,Peru,1848,2016,0.7,Poland,3.5,Peru,7,extra rare,Average Amount,Poland
986,Manufaktura Czekolady,Porcelana,1255,2014,0.7,Poland,3.75,Venezuela,7,extra rare,Average Amount,Poland
987,Manufaktura Czekolady,Kolumbia,1279,2014,0.85,Poland,3.5,Colombia,7,extra rare,High Amount,Poland
988,Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,0.7,Poland,3.25,Dominican Republic,7,extra rare,Average Amount,Poland
989,Manufaktura Czekolady,Grand Cru Ghana,871,2012,0.7,Poland,3.5,Ghana,7,extra rare,Average Amount,Poland
990,Manufaktura Czekolady,Grand Cru Ecuador,875,2012,0.7,Poland,3.25,Ecuador,7,extra rare,Average Amount,Poland
991,Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,0.75,U.S.A.,3.25,Vietnam,738,most common,Average Amount,United States of America
992,Map Chocolate,"ROIG, 2014",1474,2015,0.7,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
993,Map Chocolate,"Maranon, 2014",1474,2015,0.62,U.S.A.,3.5,Peru,738,most common,Light Amount,United States of America
994,Map Chocolate,Ecuador,1478,2015,0.7,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
995,Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,0.7,U.S.A.,2.75,Trinidad,738,most common,Average Amount,United States of America
996,Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,0.7,U.S.A.,3.5,Nicaragua,738,most common,Average Amount,United States of America
997,Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,0.68,U.S.A.,3.5,Peru,738,most common,Average Amount,United States of America
998,Map Chocolate,Colombia,1610,2015,0.75,U.S.A.,2.75,Colombia,738,most common,Average Amount,United States of America
999,Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,0.72,U.S.A.,3.0,Tanzania,738,most common,Average Amount,United States of America
1000,Map Chocolate,Le Chocolat Chaud,1634,2015,0.78,U.S.A.,3.5,Honduras,738,most common,Average Amount,United States of America
1001,Marana,Piura,1872,2016,0.7,Peru,3.0,Peru,17,extra rare,Average Amount,Peru
1002,Marana,Cusco,1884,2016,0.7,Peru,2.75,Peru,17,extra rare,Average Amount,Peru
1003,Marana,San Martin,1884,2016,0.7,Peru,3.0,Peru,17,extra rare,Average Amount,Peru
1004,Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,0.85,Vietnam,3.25,Vietnam,11,extra rare,High Amount,Vietnam
1005,Marou,Ben Tre,1650,2015,0.68,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1006,Marou,"Dak Lak, Batch 2451",1650,2015,0.7,Vietnam,3.75,Vietnam,11,extra rare,Average Amount,Vietnam
1007,Marou,"Tan Phu Dong, Treasure Island",1149,2013,0.75,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1008,Marou,Ba Ria,845,2012,0.76,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1009,Marou,Dong Nai,845,2012,0.72,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1010,Marou,"Tien Giang, Gao Co-op",845,2012,0.7,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1011,Marou,Ben Tre,849,2012,0.78,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1012,Marou,Tien Giang,895,2012,0.8,Vietnam,3.0,Vietnam,11,extra rare,High Amount,Vietnam
1013,Marou,Lam Dong,955,2012,0.74,Vietnam,3.5,Vietnam,11,extra rare,Average Amount,Vietnam
1014,Mars,"Matina 1-6, prototype",537,2010,0.65,U.S.A.,3.0,Costa Rica,738,most common,Average Amount,United States of America
1015,Mars,Ivory Coast,544,2010,0.65,U.S.A.,3.0,Ivory Coast,738,most common,Average Amount,United States of America
1016,Mars,Nigeria,544,2010,0.65,U.S.A.,3.25,Nigeria,738,most common,Average Amount,United States of America
1017,Mars,"Ghana, prototype",544,2010,0.65,U.S.A.,3.5,Ghana,738,most common,Average Amount,United States of America
1018,Marsatta,Dominican Republic,1189,2013,0.74,U.S.A.,2.25,Dominican Republic,738,most common,Average Amount,United States of America
1019,Marsatta,Dominican Republic,1189,2013,0.89,U.S.A.,2.5,Dominican Republic,738,most common,High Amount,United States of America
1020,Martin Mayer,Alto Beni,1836,2016,0.76,Austria,2.75,Bolivia,23,extra rare,Average Amount,Austria
1021,Martin Mayer,Pisa,1836,2016,0.82,Austria,3.0,Haiti,23,extra rare,High Amount,Austria
1022,Martin Mayer,Tumaco,1836,2016,0.74,Austria,3.25,Colombia,23,extra rare,Average Amount,Austria
1023,Mast Brothers,Guatemala,1450,2015,0.76,U.S.A.,3.0,Guatemala,738,most common,Average Amount,United States of America
1024,Mast Brothers,Tanzania,1450,2015,0.74,U.S.A.,3.25,Tanzania,738,most common,Average Amount,United States of America
1025,Mast Brothers,French Laundry 20th Anniversary,1359,2014,0.75,U.S.A.,3.75,"Peru, Belize",738,most common,Average Amount,United States of America
1026,Mast Brothers,Shake Shack,959,2012,0.73,U.S.A.,3.5,"Peru, Mad., Dom. Rep.",738,most common,Average Amount,United States of America
1028,Mast Brothers,Chuao,999,2012,0.73,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
1029,Mast Brothers,"Chuao, Med. Roast",701,2011,0.76,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
1030,Mast Brothers,"Chuao, Dark Roast",709,2011,0.7,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
1031,Mast Brothers,"Chuao, Light Roast",713,2011,0.81,U.S.A.,2.75,Venezuela,738,most common,High Amount,United States of America
1032,Mast Brothers,Moho River,773,2011,0.7,U.S.A.,3.5,Belize,738,most common,Average Amount,United States of America
1033,Mast Brothers,Papua New Guinea,777,2011,0.71,U.S.A.,2.75,Papua New Guinea,738,most common,Average Amount,United States of America
1034,Mast Brothers,San Martin,777,2011,0.75,U.S.A.,3.0,Peru,738,most common,Average Amount,United States of America
1035,Mast Brothers,Conacado,777,2011,0.73,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
1036,Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,0.74,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
1037,Mast Brothers,Patanemo,572,2010,0.81,U.S.A.,2.75,Venezuela,738,most common,High Amount,United States of America
1038,Mast Brothers,Ocumare de la Costa,572,2010,0.75,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
1039,Mast Brothers,"Dominican Republic, Coop",572,2010,0.7,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
1040,Matale,"Malekula P., 2013",1177,2013,0.72,Australia,3.5,Vanuatu,46,rare,Average Amount,Australia
1041,Matale,"Somia, 2013",1177,2013,0.68,Australia,4.0,Madagascar,46,rare,Average Amount,Australia
1042,Matale,"Kulili P., 2013",1177,2013,0.74,Australia,4.0,Papua New Guinea,46,rare,Average Amount,Australia
1043,Matale,Blend,1181,2013,0.7,Australia,3.75,"PNG, Vanuatu, Mad",46,rare,Average Amount,Australia
1044,Maverick,Maya Mountain,1367,2014,0.7,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
1045,Maverick,Elvesia,1367,2014,0.7,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
1046,Maverick,Tumbes,1430,2014,0.82,U.S.A.,3.25,Peru,738,most common,High Amount,United States of America
1047,Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,0.63,U.S.A.,3.5,Peru,738,most common,Light Amount,United States of America
1048,Mayacama,Hispaniola,1728,2016,0.72,U.S.A.,3.0,Domincan Republic,738,most common,Average Amount,United States of America
1049,Meadowlands,Bolivia,1287,2014,0.7,U.S.A.,2.5,Bolivia,738,most common,Average Amount,United States of America
1050,Meadowlands,Venezuela,1287,2014,0.7,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
1051,Meadowlands,Belize,1287,2014,0.7,U.S.A.,3.0,Belize,738,most common,Average Amount,United States of America
1052,Meadowlands,"Nicaragua, w/ inbs",1291,2014,0.7,U.S.A.,3.0,Nicaragua,738,most common,Average Amount,United States of America
1053,Meadowlands,Dominican Republic,1291,2014,0.7,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
1054,Menakao (aka Cinagra),Madagascar,837,2012,0.8,Madagascar,2.5,Madagascar,17,extra rare,High Amount,Madagascar
1055,Menakao (aka Cinagra),Madagascar,841,2012,0.72,Madagascar,2.5,Madagascar,17,extra rare,Average Amount,Madagascar
1056,Mesocacao,El Salvador,1494,2015,0.8,Honduras,2.75,El Salvador,6,extra rare,High Amount,Honduras
1057,Mesocacao,El Salvador,1494,2015,0.7,Honduras,3.0,El Salvador,6,extra rare,Average Amount,Honduras
1058,Mesocacao,Honduras,1347,2014,0.8,Honduras,3.25,Honduras,6,extra rare,High Amount,Honduras
1059,Mesocacao,Honduras,1347,2014,0.7,Honduras,3.5,Honduras,6,extra rare,Average Amount,Honduras
1060,Mesocacao,"La Tronca, Matagalpa",1351,2014,0.7,Honduras,3.25,Nicaragua,6,extra rare,Average Amount,Honduras
1061,Mesocacao,"La Tronca, Matagalpa",1351,2014,0.8,Honduras,3.5,Nicaragua,6,extra rare,High Amount,Honduras
1062,Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,0.7,Sweden,3.0,Brazil,5,extra rare,Average Amount,Sweden
1063,Metiisto,Akesson Estate,1267,2014,0.72,Sweden,3.5,Madagascar,5,extra rare,Average Amount,Sweden
1064,Metropolitan,South America,1688,2015,0.7,Amsterdam,3.5,South America,4,extra rare,Average Amount,Amsterdam
1065,Michel Cluizel,"Chiapas, Mokaya P.",963,2012,0.66,France,3.75,Mexico,144,somewhat common,Average Amount,France
1066,Michel Cluizel,"Carenero Superior, Concepcion",117,2007,0.66,France,3.5,Venezuela,144,somewhat common,Average Amount,France
1067,Michel Cluizel,Vila Gracinda,135,2007,0.67,France,3.5,Sao Tome,144,somewhat common,Average Amount,France
1068,Michel Cluizel,Tamarina,24,2006,0.7,France,3.0,Sao Tome,144,somewhat common,Average Amount,France
1069,Michel Cluizel,Los Ancones P.,24,2006,0.67,France,4.0,Dominican Republic,144,somewhat common,Average Amount,France
1070,Michel Cluizel,Mangaro P.,24,2006,0.65,France,4.0,Madagascar,144,somewhat common,Average Amount,France
1071,Michel Cluizel,Maralumi P.,24,2006,0.64,France,4.0,Papua New Guinea,144,somewhat common,Light Amount,France
1072,Middlebury,Maya Mountain,1490,2015,0.8,U.S.A.,3.5,Belize,738,most common,High Amount,United States of America
1073,Middlebury,San Juan Estate,1490,2015,0.7,U.S.A.,3.5,Trinidad,738,most common,Average Amount,United States of America
1074,Middlebury,Oko Caribe,1490,2015,0.75,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
1075,Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,0.75,U.S.A.,3.75,Venezuela,738,most common,Average Amount,United States of America
1076,Middlebury,Kokoa Kamili,1538,2015,0.75,U.S.A.,3.25,Tanzania,738,most common,Average Amount,United States of America
1077,Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,0.7,U.S.A.,3.5,Nicaragua,738,most common,Average Amount,United States of America
1078,Middlebury,La Red,1117,2013,0.75,U.S.A.,2.5,Dominican Republic,738,most common,Average Amount,United States of America
1079,Middlebury,Belize,1117,2013,0.8,U.S.A.,3.25,Belize,738,most common,High Amount,United States of America
1080,Middlebury,Alto Beni,887,2012,0.75,U.S.A.,2.0,Bolivia,738,most common,Average Amount,United States of America
1081,Middlebury,"Balinese, Java",887,2012,0.7,U.S.A.,2.5,Indonesia,738,most common,Average Amount,United States of America
1082,Millcreek Cacao Roasters,Ecuador,1073,2013,0.7,U.S.A.,2.5,Ecuador,738,most common,Average Amount,United States of America
1083,Millcreek Cacao Roasters,Ecuador,825,2012,0.7,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
1084,Mindo,Ecuador,607,2010,0.67,U.S.A.,2.75,Ecuador,738,most common,Average Amount,United States of America
1085,Mindo,Ecuador,607,2010,0.77,U.S.A.,2.75,Ecuador,738,most common,Average Amount,United States of America
1086,Minimal,"Acul-du-Nord, 2015",1920,2016,0.7,Japan,3.5,Haiti,17,extra rare,Average Amount,Japan
1087,Mission,"Fazenda Camboa, Bahia",1880,2016,0.75,Brazil,3.75,Brazil,17,extra rare,Average Amount,Brazil
1088,Mission,"Bahia, Fazenda Venturosa",1626,2015,0.7,Brazil,3.5,Brazil,17,extra rare,Average Amount,Brazil
1089,Mita,Tumaco,955,2012,0.65,Colombia,2.5,Colombia,23,extra rare,Average Amount,Colombia
1090,Moho,"Toledo District, w/ nibs",1026,2013,0.73,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
1091,Moho,Toledo District,1030,2013,0.72,U.S.A.,3.0,Belize,738,most common,Average Amount,United States of America
1092,Moho,"Umoho R., Toledo District, San Felipe",607,2010,0.67,U.S.A.,2.75,Belize,738,most common,Average Amount,United States of America
1093,Molucca,La Red,1614,2015,0.7,U.S.A.,3.0,Domincan Republic,738,most common,Average Amount,United States of America
1094,Molucca,Indonesia,1618,2015,0.7,U.S.A.,2.75,Indonesia,738,most common,Average Amount,United States of America
1095,Molucca,Peru,1618,2015,0.7,U.S.A.,3.25,Peru,738,most common,Average Amount,United States of America
1096,Momotombo,Matagalpa,661,2011,0.7,Nicaragua,2.75,Nicaragua,5,extra rare,Average Amount,Nicaragua
